dataset,mu_size,nu_size,cost,cost_normed,cost_diff,iterations,error,time_unit,time,time_counter,gpu_mem_unit,peak_gpu_mem,combined_peak_gpu_ram,peak_gpu_util_pct,mean_gpu_util_pct,peak_ram_MiB,combined_peak_ram_MiB,max_cpu_util_pct,mean_cpu_util_pct,status,name,reg,maxiter
1D-gaussian-1c-1024p,1024,1024,0.008087687966608855,0.0020219219916522138,0.006065765974956641,1000000,0.007312668616415707,seconds,57.708890199661255,57.688818791881204,megabytes,580.0,580.0,76.0,74.31726907630522,0.12273664000000001,0.12273664000000001,0.82109375,0.7799353664658633,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.3602331059037368,0.0900582764759342,0.2701748294278026,1000000,0.04677075426993728,seconds,57.823455572128296,57.75635217688978,megabytes,580.0,580.0,77.0,74.1284046692607,0.122728448,0.122728448,0.81875,0.7786053015564203,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-1024p,1024,1024,0.6024066201457496,0.1506016550364374,0.45180496510931223,1000000,0.058339662219890585,seconds,57.81581091880798,57.69325144961476,megabytes,580.0,580.0,76.0,74.18326693227091,0.122785792,0.122785792,0.82109375,0.7779008964143426,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-2048p,2048,2048,0.390098296977453,0.09752457424436325,0.2925737227330898,1000000,0.034309092376895854,seconds,108.39911031723022,108.22014715895057,megabytes,676.0,676.0,87.0,85.28663793103448,0.13980467200000002,0.13980467200000002,0.8265625,0.7763250942887933,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-2048p,2048,2048,0.04875776914864899,0.012189442287162247,0.03656832686148674,1000000,0.012877041198029503,seconds,108.43211627006531,108.3012920115143,megabytes,676.0,676.0,87.0,86.07822410147992,0.12390809600000001,0.12390809600000001,0.82578125,0.7780737975687099,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-2048p,2048,2048,0.9295969517294248,0.2323992379323562,0.6971977137970686,1000000,0.048845030671521766,seconds,106.00138235092163,105.9454566501081,megabytes,676.0,676.0,88.0,87.07172995780591,0.12393267200000001,0.12393267200000001,0.8390625,0.778426621835443,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-2048p,2048,2048,0.2254741656130138,0.05636854140325345,0.16910562420976036,1000000,0.026661370318663544,seconds,107.86532878875732,107.74570511840284,megabytes,676.0,676.0,87.0,86.32403433476395,0.12394496,0.12394496,0.82421875,0.7784049758583689,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-2048p,2048,2048,0.01817979729605953,0.004544949324014882,0.013634847972044646,1000000,0.007960292820467927,seconds,107.812246799469,107.77337977103889,megabytes,676.0,676.0,87.0,86.10729613733906,0.12384665600000001,0.12384665600000001,0.81875,0.7794393776824029,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-2048p,2048,2048,0.2752788729257392,0.0688197182314348,0.20645915469430443,1000000,0.029329584013973255,seconds,106.26802325248718,106.13340577296913,megabytes,676.0,676.0,88.0,87.63676148796499,0.123854848,0.123854848,0.83046875,0.7786498222100654,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-2048p,2048,2048,0.04728196378286444,0.01182049094571611,0.03546147283714833,1000000,0.012524972634820272,seconds,106.5396659374237,106.49222806096077,megabytes,676.0,676.0,88.0,86.73788546255507,0.12386304000000001,0.12386304000000001,0.81796875,0.7799266932819388,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-2048p,2048,2048,0.060635805058413386,0.015158951264603347,0.04547685379381004,1000000,0.014337798049524059,seconds,107.71945142745972,107.63865931145847,megabytes,676.0,676.0,87.0,86.48109243697479,0.12376883200000001,0.12376883200000001,0.8453125,0.7774652048319323,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-2048p,2048,2048,0.06014113576409249,0.015035283941023122,0.045105851823069365,1000000,0.014117178555867228,seconds,107.76955723762512,107.76404814608395,megabytes,676.0,676.0,87.0,85.99567099567099,0.12377702400000001,0.12377702400000001,0.81953125,0.7800358495671004,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-2048p,2048,2048,0.05392042182486112,0.01348010545621528,0.04044031636864584,1000000,0.013321825588099918,seconds,106.11419343948364,105.98639572784305,megabytes,676.0,676.0,88.0,87.85217391304347,0.123736064,0.123736064,0.82890625,0.7784290081521744,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-2048p,2048,2048,0.03691592053317623,0.009228980133294058,0.027686940399882173,1000000,0.011046092752670237,seconds,106.55398178100586,106.34746334329247,megabytes,676.0,676.0,88.0,86.85466377440348,0.12411699200000001,0.12411699200000001,0.81484375,0.7774471258134479,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-2048p,2048,2048,0.008256390072030521,0.0020640975180076303,0.00619229255402289,1000000,0.005222467578754603,seconds,106.25794982910156,106.21138002350926,megabytes,676.0,676.0,88.0,87.61050328227572,0.12374016,0.12374016,0.82109375,0.7788737691466086,success,sinkhorn-normed-log,1e-08,1000000
1D-gaussian-1c-2048p,2048,2048,0.09173358623429699,0.022933396558574248,0.06880018967572274,1000000,0.01719738159398331,seconds,107.57154822349548,107.55284793674946,megabytes,676.0,676.0,87.0,86.18526315789474,0.12374016,0.12374016,0.81875,0.7789786184210535,success,sinkhorn-normed-log,1e-08,1000000
